MI_PRINX,SL Number,Site ID,Street Location,Between Street 1,Between Street 2,Direction Bound,Start Date,End Date,Count Year,Ave Weekday Traffic,ADT,AM Peak 8 To 9,PM Peak 5 To 6,Percent Heavy Vehicles,Speed Limit,Percentile 85th,Percent Exceed Speed Limit,Data Collected By,Longitude,Latitude,x,y
213,3,ANTSLN_HARDY_KARELA,Antares Lane,Hardy Road,Karella Street,Southbound/Northbound,2/20/2023 12:00:00 AM,2/27/2023 12:00:00 AM,2023,29,26,3,3,0,50,20.28,0,COP,115.8150909,-31.9728847,12892478.1441,-3759750.0849
214,8,KANBLA_KARELA_PARKRD,Kanimbla Road,Karella Street,Park Road,Southbound/Northbound,2/20/2023 12:00:00 AM,2/27/2023 12:00:00 AM,2023,771,744,53,59,0.5,50,45,3.207,COP,115.8156457,-31.9738275,12892539.9044,-3759873.8061
215,11,HARDY_SPICAL_KANVLA,Hardy Road,Spica Lane,Kanimbla Road,Eastbound/Westbound,2/20/2023 12:00:00 AM,2/27/2023 12:00:00 AM,2023,954,904,95,69,2.5,50,37.98,0.773,COP,115.8158728,-31.9715381,12892565.1842,-3759573.3759
216,50,THEAVE_BROADW_FAIRWY,The Avenue,Broadway,Fairway,South,3/9/2022 12:00:00 AM,3/17/2022 12:00:00 AM,2022,2069,2045,144,205,0.0381,50,38.2,0.0038,Pantagon,115.815911,-31.988033,12892569.4388,-3761738.1116
217,49,THEAVE_BROADW_FAIRWY,The Avenue,Broadway,Fairway,North,3/9/2022 12:00:00 AM,3/17/2022 12:00:00 AM,2022,2031,1954,202,166,0.0379,50,38.9,0.0045,Pantagon,115.815916,-31.988088,12892569.9954,-3761745.3303
218,1,SPICAL_HARDY_PARKRD,Spica Lane,Hardy Road,Park Road,Southbound/Northbound,2/20/2023 12:00:00 AM,2/27/2023 12:00:00 AM,2023,36,35,3,3,0,50,28.12,0,COP,115.8161857,-31.9727655,12892600.0164,-3759734.4423
219,9,PARKRD_WINTHP_KANBLA,Park Road,Winthrop Av,Kanimbla Road,Eastbound/Westbound,2/20/2023 12:00:00 AM,2/27/2023 12:00:00 AM,2023,1041,1001,85,92,1.5,50,33.84,0.071,COP,115.8162511,-31.9743546,12892607.2972,-3759942.9766
220,6,MICALN_FERDLN_KANBLA,Micrantha Lane,Ferdinand Lane,Kanimbla Road,Eastbound/Westbound,2/20/2023 12:00:00 AM,2/27/2023 12:00:00 AM,2023,29,26,2,4,0,50,20.07,0,COP,115.816485,-31.9710596,12892633.3337,-3759510.5846
221,26,CPN_FRW_PRk_98,Caporn St,Fairway,Parkway,Eastbound/Westbound,5/4/2022 12:00:00 AM,5/18/2022 12:00:00 AM,2022,787,675,54,95,3.1,50,46.44,6.79,COP,115.8167637,-31.9844296,12892664.3608,-3761265.1805
222,70,WINTHP_ABDARE_MONASH,Winthrop Ave,Aberdare Rd,Monash Ave,North,3/9/2022 12:00:00 AM,3/17/2022 12:00:00 AM,2022,13914,12948,1052,983,0.0237,70,64.8,0.0313,Pantagon,115.81774,-31.969292,12892773.0389,-3759278.6344
223,71,WINTHP_ABDARE_MONASH,Winthrop Ave,Aberdare Rd,Monash Ave,South,3/9/2022 12:00:00 AM,3/17/2022 12:00:00 AM,2022,14244,13074,1064,1331,0.0233,70,65.2,0.0369,Pantagon,115.817782,-31.969342,12892777.7144,-3759285.1956
